instancia,lucro_guloso,lucro_sa,tempo_guloso_ms,tempo_sa_ms
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.3_eps_0.001_s_300\test.in,9990073595,9976145190,0,22
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.3_eps_0.01_s_100\test.in,9957051874,9898453536,0,21
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.3_eps_0.01_s_200\test.in,9896135612,9981283866,0,22
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.3_eps_0.01_s_300\test.in,9903964518,9966453808,0,23
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.3_eps_0.1_s_100\test.in,9937516312,9703140608,0,20
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.3_eps_0.1_s_200\test.in,9527376292,9289093757,0,20
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.3_eps_0.1_s_300\test.in,9742237293,9250047902,0,20
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.3_eps_0_s_100\test.in,9980493403,9980485326,0,24
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.3_eps_0_s_200\test.in,9980517422,9980502279,0,23
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.3_eps_0_s_300\test.in,9980542611,9980517811,0,23
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.3_eps_1e-05_s_100\test.in,9992993336,9982285474,0,22
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.3_eps_1e-05_s_200\test.in,9993918149,9982801533,0,24
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.3_eps_1e-05_s_300\test.in,9993340186,9981715797,0,21
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.1_eps_0.0001_s_100\test.in,9998351262,9998488609,0,23
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.1_eps_0.0001_s_200\test.in,10000021336,9999937048,0,23
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.1_eps_0.0001_s_300\test.in,9999719718,9998296866,0,22
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.1_eps_0.001_s_100\test.in,9997209227,9996285905,0,24
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.1_eps_0.001_s_200\test.in,9991693569,9998403746,0,25
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.1_eps_0.001_s_300\test.in,9989552592,9998835217,0,21
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.1_eps_0.01_s_100\test.in,9995275247,9972320045,0,21
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.1_eps_0.01_s_200\test.in,9944310866,9934192279,0,22
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.1_eps_0.01_s_300\test.in,9969859560,9995916005,0,20
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.1_eps_0.1_s_100\test.in,9281988634,9239263332,0,17
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.1_eps_0.1_s_200\test.in,9052501896,9628672492,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.1_eps_0.1_s_300\test.in,9220964779,9535904661,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.1_eps_0_s_100\test.in,9998801606,9998785741,0,22
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.1_eps_0_s_200\test.in,9998822181,9998793556,0,21
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.1_eps_0_s_300\test.in,9998847365,9998799519,0,21
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.1_eps_1e-05_s_100\test.in,9999387425,9999464494,0,20
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.1_eps_1e-05_s_200\test.in,9999589372,9999511072,0,23
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.1_eps_1e-05_s_300\test.in,9999833151,9999757451,0,22
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.2_eps_0.0001_s_100\test.in,9999857704,9998184623,0,23
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.2_eps_0.0001_s_200\test.in,9999103001,9998490912,0,22
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.2_eps_0.0001_s_300\test.in,9999926782,9998874389,0,23
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.2_eps_0.001_s_100\test.in,9995346547,9993097937,0,37
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.2_eps_0.001_s_200\test.in,9995695011,9994606828,0,31
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.2_eps_0.001_s_300\test.in,9999713864,9995328232,0,24
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.2_eps_0.01_s_100\test.in,9963834530,9936680189,0,20
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.2_eps_0.01_s_200\test.in,9911459458,9914329123,0,20
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.2_eps_0.01_s_300\test.in,9996829589,9999596222,0,21
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.2_eps_0.1_s_100\test.in,9111095707,9299815878,0,21
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.2_eps_0.1_s_200\test.in,9500511139,9510275855,0,20
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.2_eps_0.1_s_300\test.in,9131869168,9168488300,0,19
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.2_eps_0_s_100\test.in,9998805344,9998791500,0,24
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.2_eps_0_s_200\test.in,9998832054,9998802926,0,23
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.2_eps_0_s_300\test.in,9998858493,9998815650,0,23
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.2_eps_1e-05_s_100\test.in,9999733273,9999730211,0,23
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_14_f_0.2_eps_1e-05_s_200\test.in,9999139090,9999342725,0,25
