instance,greedy,sa,time_seconds,max_rss_kb
n_1000_c_10000000000_g_14_f_0.1_eps_0.1_s_100,9281988634,9998541328,1.03,4096
n_1000_c_10000000000_g_14_f_0.1_eps_0.1_s_200,9052501896,9052501896,1.30,4096
n_1000_c_10000000000_g_14_f_0.1_eps_0.1_s_300,9220964779,9998552282,1.33,3968
n_1000_c_10000000000_g_14_f_0.1_eps_0_s_100,9998801606,9998801606,1.13,4096
n_1000_c_10000000000_g_14_f_0.1_eps_0_s_200,9998822181,9998822181,1.11,4096
n_1000_c_10000000000_g_14_f_0.1_eps_0_s_300,9998847365,9998847365,1.62,4096
n_1000_c_10000000000_g_14_f_0.1_eps_1e-05_s_100,9999387425,9999388415,1.58,4096
n_1000_c_10000000000_g_14_f_0.1_eps_1e-05_s_200,9999589372,9999592235,1.11,4224
n_1000_c_10000000000_g_14_f_0.1_eps_1e-05_s_300,9999833151,9999836996,1.08,4224
n_1000_c_10000000000_g_14_f_0.2_eps_0.0001_s_100,9999857704,9999858659,1.35,4096
n_1000_c_10000000000_g_14_f_0.2_eps_0.0001_s_200,9999103001,9999105025,1.13,4352
n_1000_c_10000000000_g_14_f_0.2_eps_0.0001_s_300,9999926782,9999930243,1.13,4224
n_1000_c_10000000000_g_14_f_0.2_eps_0.001_s_100,9995346547,9999009638,1.23,4096
n_1000_c_10000000000_g_14_f_0.2_eps_0.001_s_200,9995695011,9999359766,1.11,4224
n_1000_c_10000000000_g_14_f_0.2_eps_0.001_s_300,9999713864,9999716413,1.12,4224
n_1000_c_10000000000_g_14_f_0.2_eps_0.01_s_100,9963834530,9999235347,0.98,4096
n_1000_c_10000000000_g_14_f_0.2_eps_0.01_s_200,9911459458,9999350487,0.96,4224
n_1000_c_10000000000_g_14_f_0.2_eps_0.01_s_300,9996829589,9999271799,0.96,4096
n_1000_c_10000000000_g_14_f_0.2_eps_0.1_s_100,9111095707,9996105359,0.86,4224
n_1000_c_10000000000_g_14_f_0.2_eps_0.1_s_200,9500511139,9996116430,0.94,4224
n_1000_c_10000000000_g_14_f_0.2_eps_0.1_s_300,9131869168,9996126529,0.88,4096
n_1000_c_10000000000_g_14_f_0.2_eps_0_s_100,9998805344,9998805344,1.03,4224
n_1000_c_10000000000_g_14_f_0.2_eps_0_s_200,9998832054,9998832054,1.07,4224
n_1000_c_10000000000_g_14_f_0.2_eps_0_s_300,9998858493,9998858493,0.99,4224
n_1000_c_10000000000_g_14_f_0.2_eps_1e-05_s_100,9999733273,9999734211,1.03,4096
n_1000_c_10000000000_g_14_f_0.2_eps_1e-05_s_200,9999139090,9999140873,1.14,4352
n_1000_c_10000000000_g_14_f_0.2_eps_1e-05_s_300,9999164185,9999168411,1.02,4224
