instance_name,greedy_profit,sa_profit
n_1000_c_10000000000_g_14_f_0.2_eps_0.0001_s_200,9999103001,9999299187
n_1000_c_10000000000_g_14_f_0.2_eps_0.0001_s_300,9999926782,9999299976
n_1000_c_10000000000_g_14_f_0.2_eps_0.001_s_100,9995346547,9993283749
n_1000_c_10000000000_g_14_f_0.2_eps_0.001_s_200,9995695011,9998938845
n_1000_c_10000000000_g_14_f_0.2_eps_0.001_s_300,9999713864,9993922023
n_1000_c_10000000000_g_14_f_0.2_eps_0.01_s_100,9963834530,9997422874
n_1000_c_10000000000_g_14_f_0.2_eps_0.01_s_200,9911459458,9974143702
n_1000_c_10000000000_g_14_f_0.2_eps_0.01_s_300,9996829589,9984264653
n_1000_c_10000000000_g_14_f_0.2_eps_0.1_s_100,9111095707,9051280621
n_1000_c_10000000000_g_14_f_0.2_eps_0.1_s_200,9500511139,9019552808
n_1000_c_10000000000_g_14_f_0.2_eps_0.1_s_300,9131869168,9495393151
n_1000_c_10000000000_g_14_f_0.2_eps_0_s_100,9998805344,9998791455
n_1000_c_10000000000_g_14_f_0.2_eps_0_s_200,9998832054,9998802936
n_1000_c_10000000000_g_14_f_0.2_eps_0_s_300,9998858493,9998817035
n_1000_c_10000000000_g_14_f_0.2_eps_1e-05_s_100,9999733273,9999510131
n_1000_c_10000000000_g_14_f_0.2_eps_1e-05_s_200,9999139090,9998761682
n_1000_c_10000000000_g_14_f_0.2_eps_1e-05_s_300,9999164185,9999373496
n_1000_c_10000000000_g_14_f_0.3_eps_0.0001_s_100,9999511040,9999720738
n_1000_c_10000000000_g_14_f_0.3_eps_0.0001_s_200,9999539090,9999737122
n_1000_c_10000000000_g_14_f_0.3_eps_0.0001_s_300,9999010323,9998310635
n_1000_c_10000000000_g_14_f_0.3_eps_0.001_s_100,9997559095,9993532065
n_1000_c_10000000000_g_14_f_0.3_eps_0.001_s_200,9992615028,9997630722
n_1000_c_10000000000_g_14_f_0.3_eps_0.001_s_300,9989873772,9995951475
n_1000_c_10000000000_g_14_f_0.3_eps_0.01_s_100,9915013032,9901775620
