instancia,lucro_guloso,lucro_sa,tempo_guloso_ms,tempo_sa_ms,tempo_total_ms
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.1_eps_0.001_s_200\test.in,1019817,1019817,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.1_eps_0.001_s_300\test.in,1032562,1032562,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.1_eps_0.01_s_100\test.in,999606,999606,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.1_eps_0.01_s_200\test.in,1012836,1012836,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.1_eps_0.01_s_300\test.in,1020847,1020847,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.1_eps_0.1_s_100\test.in,912057,912057,0,0,0
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.1_eps_0.1_s_200\test.in,938925,938925,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.1_eps_0.1_s_300\test.in,927466,927466,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.1_eps_0_s_100\test.in,1011231,1011231,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.1_eps_0_s_200\test.in,1022454,1022454,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.1_eps_0_s_300\test.in,1034660,1034660,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.1_eps_1e-05_s_100\test.in,1012164,1012164,0,2,2
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.1_eps_1e-05_s_200\test.in,1022847,1022847,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.1_eps_1e-05_s_300\test.in,1033648,1033648,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.2_eps_0.0001_s_100\test.in,1012371,1012371,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.2_eps_0.0001_s_200\test.in,1024238,1024238,0,2,2
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.2_eps_0.0001_s_300\test.in,1036817,1036817,0,2,2
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.2_eps_0.001_s_100\test.in,1012045,1012045,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.2_eps_0.001_s_200\test.in,1025641,1025641,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.2_eps_0.001_s_300\test.in,1033843,1033843,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.2_eps_0.01_s_100\test.in,1008408,1008408,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.2_eps_0.01_s_200\test.in,1014720,1014720,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.2_eps_0.01_s_300\test.in,1024555,1024555,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.2_eps_0.1_s_100\test.in,933715,933715,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.2_eps_0.1_s_200\test.in,946704,946704,0,1,1
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_1000000_g_14_f_0.2_eps_0.1_s_300\test.in,954632,954632,0,0,0
